movie_id,title,year,runtime,vote_average,vote_count,budget,revenue,original_language,decade
100,"Lock, Stock and Two Smoking Barrels",1998,105,8.097,7279,1350000.0,28356188.0,en,1990
10014,A Nightmare on Elm Street Part 2: Freddy's Revenge,1985,87,5.8,2141,3000000.0,30000121.0,en,1980
10020,Beauty and the Beast,1991,84,7.726,10772,25000000.0,424967620.0,en,1990
100402,Captain America: The Winter Soldier,2014,136,7.655,20180,170000000.0,714766572.0,en,2010
10072,A Nightmare on Elm Street 3: Dream Warriors,1987,96,6.717,2065,4450000.0,44793222.0,en,1980
101,Léon: The Professional,1994,111,8.294,16277,16000000.0,20330788.0,fr,1990
10110,Empire of the Sun,1987,153,7.516,2162,35000000.0,66700000.0,en,1980
10112,The Aristocats,1970,78,7.304,5409,4000000.0,191000000.0,en,1970
101299,The Hunger Games: Catching Fire,2013,146,7.4,18582,130000000.0,865011746.0,en,2010
10137,Stuart Little,1999,84,6.082,4699,133000000.0,300135367.0,en,1990
10138,Iron Man 2,2010,124,6.855,22579,200000000.0,623933331.0,en,2010
10144,The Little Mermaid,1989,83,7.352,8470,40000000.0,211343479.0,en,1980
10157,Police Academy 2: Their First Assignment,1985,87,6.099,1748,7600000.0,55600000.0,en,1980
1018,Mulholland Drive,2001,147,7.799,7137,15000000.0,20289986.0,en,2000
10191,How to Train Your Dragon,2010,98,7.864,14523,165000000.0,495141736.0,en,2010
10192,Shrek Forever After,2010,93,6.409,8040,165000000.0,752600867.0,en,2010
10193,Toy Story 3,2010,103,7.813,15974,200000000.0,1067316101.0,en,2010
10195,Thor,2011,115,6.771,22512,150000000.0,449326618.0,en,2010
10201,Yes Man,2008,104,6.693,7469,70000000.0,223200000.0,en,2000
10227,PlayTime,1967,115,7.7,677,,,fr,1960
10238,Cries and Whispers,1972,95,7.9,787,400000.0,,sv,1970
102382,The Amazing Spider-Man 2,2014,141,6.548,14422,200000000.0,716934779.0,en,2010
10242,What Ever Happened to Baby Jane?,1962,135,7.895,1175,980000.0,,en,1960
